PARK,PARK_NO,NAME,the_geom,X_COORD,Y_COORD,ARTIST,OWNER,GISOBJID
CHASE (SALMON),103,Common Threads,POINT (-87.66867022224179 41.96774974179363),-87.66867022,41.96774974,"Kamelia Hristeva, Anna Soltys",CPD,6132
COLE (NAT KING),270,Unforgettable,POINT (-87.61587636956247 41.73979700827567),-87.61587637,41.73979701,Damon Lamar Reed,CPD,6134
CLARENDON COMM. CTR.,1002,"Lily, Birth-Rebirth",POINT (-87.64960565720123 41.96367833767757),-87.64960566,41.96367834,Patricia Murphy,CPD,6133
COLUMBUS (CHRISTOPHER),209,Columbus Ships,POINT (-87.76854237380918 41.876492259081836),-87.76854237,41.87649226,Roy L. Terwilliger,CPD,6135
COMMERCIAL CLUB PGD. of CHICAGO,1006,Mosaic,POINT (-87.67410819540325 41.89679071254046),-87.6741082,41.89679071,Kamelia Hristeva & Anna Soltys,CPD,6136
CORNELL (PAUL) SQUARE,5,Portrait of Ezra Cornell,POINT (-87.67018601530515 41.80296909693275),-87.67018602,41.8029691,Unknown,CPD,6137
DAVIS (DR. NATHAN) SQUARE,14,Constructive Recreation:The Vital Force in Character Building,POINT (-87.66724385593369 41.813123333186304),-87.66724386,41.81312333,William Edouard Scott,CPD,6138
DAVIS (DR. NATHAN) SQUARE,14,Untitled Mural,POINT (-87.66719050920545 41.81332855371328),-87.66719051,41.81332855,Unknown,CPD,6139
DOUGLAS (STEPHEN),218,Douglas Park Mosaic,POINT (-87.69979506777695 41.862484046849175),-87.69979507,41.86248405,Victor Velez,CPD,6140
DOUGLAS (STEPHEN),218,You Are a Reflection of You,POINT (-87.69655429393113 41.85645536367644),-87.69655429,41.85645536,Ginny Sykes & Julia Sowles-Barlow,CPD,6142
DOUGLAS (STEPHEN),218,Route 66,POINT (-87.69644765906654 41.856459853798576),-87.69644766,41.85645985,Dorian Sylvain,CPD,6141
DVORAK (ANTON),216,Unity,POINT (-87.65394798539486 41.855055758956944),-87.65394799,41.85505576,Gabriel Villa,CPD,6143
FIELD (EUGENE),41,Participation of Youth in the Realm of the Arts,POINT (-87.72226833009258 41.97405515895283),-87.72226833,41.97405516,Pottowattomie Art Class,CPD,6144
FIELD (EUGENE),41,Portrait of Eugene Field,POINT (-87.7224761882495 41.973991362877086),-87.72247619,41.97399136,Josh Holland,CPD,6145
FIELD (EUGENE),41,"Trumpet & Drum (Wynken, Blynken & Nod)",POINT (-87.72218675521204 41.97402089733872),-87.72218676,41.9740209,Gerry Lang,CPD,6146
FOSCO (PETER),1030,Imagining the Possibilities,POINT (-87.65794901371794 41.86493444446251),-87.65794901,41.86493445,"Corinne D. Peterson, Sonata Kazimieraitiene",CPD,6147
FULLER (MELVILLE),4,Community Quilt,POINT (-87.63496532908489 41.81205222945343),-87.63496533,41.81205223,Millicent Gordon & the Soul Stitchers,CPD,6148
FULLER (MELVILLE),4,Early Explorers Series,POINT (-87.63424959933062 41.81206619856723),-87.6342496,41.8120662,John Warner Norton,CPD,6149
FULLER (MELVILLE),4,Untitled Mosaics,POINT (-87.63461260369093 41.81232002750453),-87.6346126,41.81232003,Millicent Gordon,CPD,6150
GAGE (GEORGE),22,Old Crafts Room Mural,POINT (-87.68501662380824 41.79356813146292),-87.68501662,41.79356813,Unknown,CPD,6151
GAGE (GEORGE),22,Pioneers,POINT (-87.68460642299718 41.79352315753328),-87.68460642,41.79352316,Tom Lea,CPD,6152
GARFIELD (JAMES),204,Green Line Mosaics,POINT (-87.71644689487047 41.88494865161066),-87.71644689,41.88494865,Various,CTA,6153
GARFIELD (JAMES),204,Palm Tree Relief,POINT (-87.71779548350037 41.886220656281715),-87.71779548,41.88622066,Phil Schuster,CPD,6154
GARFIELD (JAMES),204,Playground Mosaics,POINT (-87.71142786235299 41.88411704182409),-87.71142786,41.88411704,Mirtes Zwierzynski & Max Sansing,CPD,6155
